,WinMargin,average,linreg,naive,extr,ranfor,xgb,nn,lstm,tpot
0,21.0,7.3,1,0,0,1,1,1,0,1
1,1.0,1.0,1,1,1,1,0,0,0,0
2,-10.999999999999998,8.0,1,1,0,0,0,0,0,1
3,9.0,7.0,1,0,0,0,1,1,1,0
4,6.0,3.0,0,0,1,0,1,0,1,0
5,17.0,6.0,0,0,0,0,1,1,1,0
6,7.0,10.899999999999999,0,1,0,1,0,0,0,1
7,14.0,4.0,1,0,0,0,1,1,1,0
8,9.0,5.0,0,0,0,0,1,1,0,0
9,3.0,3.0,0,1,1,0,0,0,0,1
10,9.0,3.0,1,0,0,0,1,1,1,0
11,-13.999999999999998,-1.1,1,1,0,0,0,0,0,0
12,-8.0,-2.600000000000001,0,1,0,0,0,0,0,0
13,16.0,8.0,1,0,1,1,1,1,0,0
14,25.0,4.1,1,0,0,1,1,1,1,1
15,1.0,-1.0000000000000004,1,0,1,1,1,1,1,1
16,20.0,2.1,1,0,0,1,1,1,1,1
17,6.0,3.0,1,0,0,0,1,1,1,0
18,-18.0,-5.0,1,1,0,0,0,0,0,0
19,-19.0,3.9,1,1,1,1,0,0,1,1
20,6.0,-6.4,1,0,1,1,1,1,1,1
21,-19.0,4.1,1,1,1,1,0,0,0,0
22,-2.0,-6.1,0,0,1,1,1,1,1,1
23,17.0,12.0,0,0,0,0,1,1,1,1
24,9.0,5.1,1,0,1,1,1,1,1,1
25,8.0,4.1,1,0,0,0,1,1,0,1
26,-5.0,-1.9,0,1,1,1,1,0,0,0
27,24.0,9.3,1,0,1,1,1,1,1,1
28,17.0,1.1999999999999997,1,0,1,0,1,1,1,1
29,16.0,6.0,1,0,1,1,1,1,1,0
30,8.0,5.7,1,0,1,1,1,1,1,0
31,13.0,9.0,0,0,1,0,1,0,0,0
32,-12.999999999999998,1.0,1,1,1,0,0,0,0,0
33,-4.0,-4.0,0,1,0,0,0,0,0,0
34,-5.0,7.5,0,1,0,0,0,0,0,0
35,-3.0,4.0,1,1,1,1,1,1,1,1
36,-4.0,-1.3000000000000003,0,1,0,1,0,0,1,0
37,5.0,-5.1,1,0,0,0,1,1,1,1
38,9.0,5.0,1,0,0,1,1,1,1,0
39,15.0,14.9,0,0,0,0,1,0,0,1
40,6.0,-7.199999999999999,1,0,0,0,1,1,1,1
41,1.9999999999999998,10.899999999999999,0,1,1,1,0,0,1,1
42,11.0,5.0,0,0,1,1,1,0,0,0
43,6.0,4.2,1,0,1,1,1,1,1,1
44,9.0,2.0,1,0,1,1,1,1,1,1
45,-2.0,5.0,0,1,1,1,1,0,1,1
46,-9.0,6.0,0,1,1,1,1,0,1,1
47,17.0,3.4,1,0,1,0,1,1,1,1
48,8.0,6.2,0,0,1,1,1,1,1,1
