WinMargin,average,linreg,naive,extr,ranfor,xgb,nn,lstm,tpot
32.0,-7.8999999999999995,1,0,1,1,0,1,1,1
6.0,3.9,1,0,0,0,1,1,0,0
-6.0,-10.0,0,0,1,1,1,0,1,1
-16.0,-7.3999999999999995,1,1,0,0,0,0,0,1
10.0,-7.000000000000001,1,0,0,0,1,0,1,1
-2.9999999999999996,-1.0,1,1,0,0,0,0,0,0
5.0,4.2,0,0,0,1,0,1,0,1
18.0,0.6000000000000001,1,0,0,0,1,1,1,1
-3.9999999999999996,10.0,0,1,0,0,1,0,0,1
12.0,2.0,0,0,0,0,1,0,1,0
-2.9999999999999996,8.0,0,1,0,0,0,0,0,0
6.0,1.0,0,0,1,1,1,0,1,0
-8.0,2.1,1,1,0,0,1,1,0,1
-8.0,8.0,0,1,1,1,1,0,0,1
20.0,-0.7999999999999998,1,0,1,1,0,1,1,1
-2.9999999999999996,-4.2,1,0,1,0,0,1,1,1
4.0,3.1,1,0,1,0,1,1,1,1
-20.0,-2.2,0,1,0,0,0,0,0,0
11.0,7.0,0,0,0,0,1,1,1,0
-7.0,-13.8,0,0,1,1,1,1,1,1
-23.0,3.0,0,1,1,1,1,0,0,0
-8.0,-7.000000000000001,0,1,0,0,0,0,0,0
13.0,7.3,1,0,0,0,1,1,1,1
26.0,9.0,0,0,1,1,1,1,1,0
-5.0,4.3,0,1,1,0,1,0,0,0
-2.9999999999999996,-1.1000000000000005,0,1,1,1,0,0,0,1
-10.0,-6.2,0,1,1,1,1,1,1,0
-8.0,9.0,1,1,1,1,0,0,1,1
8.0,1.2,0,0,1,0,1,0,0,1
2.0,-3.5,0,0,0,0,1,0,0,0
-27.000000000000004,-3.8,0,1,1,1,0,1,1,0
40.0,14.8,0,0,1,0,0,1,1,0
7.0,9.0,1,1,1,1,1,1,1,1
8.0,11.2,1,1,0,0,1,0,1,1
-3.9999999999999996,1.9,0,1,1,1,0,1,1,1
-9.0,-5.2,1,1,0,1,1,0,1,1
3.0,4.3,1,1,1,1,0,1,1,1
20.0,4.6,0,0,0,0,0,0,0,0
9.0,8.1,0,0,0,0,0,0,0,0
-16.0,-8.0,0,1,0,0,0,1,0,0
-13.000000000000002,-5.000000000000001,1,1,0,0,0,0,0,0
5.0,-1.0,0,0,1,0,1,0,0,0
9.0,9.0,1,1,1,1,1,1,1,1
3.0,6.1,1,1,0,0,0,1,0,0
-6.0,11.0,1,1,0,0,0,0,0,1
-6.0,-8.5,1,0,1,1,0,1,1,1
